country,最有名研究领域1,最有名研究领域2,最有名研究领域3
United States,Combinatorics,Discrete mathematics,Algebra
United States,Operating system,Programming language,Computer network
Australia,Artificial intelligence,Computer vision,Operating system
United States,Algorithm,Statistics,Operating system
Netherlands,Artificial intelligence,Optics,Geometry
United States,Artificial intelligence,Computer vision,Algorithm
United States,Artificial intelligence,Computer vision,Statistics
United States,Programming language,Algebra,Algorithm
United States,Computer network,Operating system,The Internet
United States,Programming language,Internal medicine,Statistics
United States,Artificial intelligence,Law,Statistics
United States,Artificial intelligence,The Internet,Human–computer interaction
United States,Operating system,Artificial intelligence,Computer network
United States,Artificial intelligence,Computer vision,The Internet
United Kingdom,Optics,Artificial intelligence,Magnetic resonance imaging
United States,Operating system,Artificial intelligence,Programming language
United States,Operating system,Computer network,The Internet
United States,Algorithm,Statistics,Artificial intelligence
United States,Operating system,Database,The Internet
Japan,Artificial intelligence,Robot,Statistics
Canada,Artificial intelligence,Operating system,Programming language
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Statistics,Radar
United States,The Internet,World Wide Web,Database
United States,The Internet,World Wide Web,Database
United States,Artificial intelligence,Computer vision,Operating system
Singapore,Artificial intelligence,Programming language,Software
Mexico,Artificial intelligence,Machine learning,Artificial neural network
Canada,Artificial intelligence,Microsoft Windows,Computer vision
France,Artificial intelligence,Computer vision,Operating system
United States,Operating system,Programming language,The Internet
Spain,The Internet,Artificial intelligence,Software
United States,Artificial intelligence,Machine learning,Statistics
United States,Operating system,Artificial intelligence,Central processing unit
United States,Artificial intelligence,Algorithm,The Internet
United States,Artificial intelligence,Computer vision,Optics
China,Artificial intelligence,Speech recognition,Machine learning
Belgium,Artificial intelligence,Statistics,Algebra
United Kingdom,Artificial intelligence,Statistics,Computer vision
United States,Operating system,Computer security,The Internet
United States,Artificial intelligence,Machine learning,Pattern recognition
United States,Programming language,Operating system,Artificial intelligence
United States,Artificial intelligence,The Internet,Programming language
United States,Artificial intelligence,Machine learning,Algorithm
United States,Computer network,Statistics,Telecommunications
United States,Algorithm,Statistics,Algebra
Switzerland,Artificial intelligence,Computer network,Algorithm
Belgium,Internal medicine,Statistics,Artificial intelligence
United Kingdom,Programming language,Artificial intelligence,Database
United States,Artificial intelligence,Machine learning,Computer vision
China,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,The Internet,Operating system
Canada,Computer network,The Internet,Computer security
Canada,Artificial intelligence,Robot,Cognition
United States,Operating system,Artificial intelligence,Programming language
United States,Artificial intelligence,Operating system,Programming language
United States,Artificial intelligence,Linguistics,Natural language processing
Germany,Artificial intelligence,The Internet,World Wide Web
Germany,Operating system,Artificial intelligence,Software
China,Artificial intelligence,Statistics,Machine learning
Germany,Computer network,Operating system,The Internet
United States,The Internet,World Wide Web,Database
United States,Operating system,Computer network,Software
United States,Operating system,Computer network,The Internet
Australia,Artificial intelligence,Computer vision,Algorithm
United States,Cryptography,Algebra,Algorithm
United States,Artificial intelligence,Machine learning,Statistics
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Statistics
United States,Cryptography,Programming language,Algorithm
Finland,Artificial intelligence,Statistics,Programming language
United States,Computer network,Telecommunications,Topology
United Kingdom,Artificial intelligence,Computer vision,Internal medicine
Australia,Artificial intelligence,Statistics,Machine learning
China,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,The Internet,Operating system
United States,Artificial intelligence,Programming language,Machine learning
United States,Internal medicine,Cancer,Surgery
United States,Operating system,Central processing unit,Programming language
China,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,The Internet,Software
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Programming language
United States,Artificial intelligence,Speech recognition,Programming language
United States,Artificial intelligence,Computer vision,Algorithm
United States,Artificial intelligence,Computer vision,Statistics
United States,Operating system,Programming language,Central processing unit
United Kingdom,Artificial intelligence,Law,The Internet
United States,Artificial intelligence,Speech recognition,Statistics
Germany,Algorithm,Programming language,Combinatorics
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Computer vision,Machine learning
United States,Operating system,Computer network,The Internet
United States,Computer network,Operating system,The Internet
Singapore,Artificial intelligence,Machine learning,Statistics
China,Artificial intelligence,Machine learning,Statistics
Switzerland,Operating system,Database,Computer network
United States,Operating system,Computer network,The Internet
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Speech recognition,Machine learning
Singapore,Artificial intelligence,Computer vision,Statistics
China,Artificial intelligence,Operating system,The Internet
Germany,Artificial intelligence,Operating system,Microsoft Windows
United States,Software,Operating system,Programming language
United States,The Internet,Artificial intelligence,World Wide Web
United Kingdom,Computer network,The Internet,Operating system
United States,Statistics,Artificial intelligence,Machine learning
France,Artificial intelligence,Computer vision,Geometry
United States,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Statistics,Electroencephalography
United States,Statistics,Artificial intelligence,Algorithm
United States,Gene,Enzyme,DNA
United States,Statistics,Artificial intelligence,Machine learning
United States,Computer network,The Internet,Telecommunications
United States,Artificial intelligence,Neuroscience,Machine learning
United States,Artificial intelligence,World Wide Web,The Internet
United States,Computer network,The Internet,Operating system
United States,Operating system,The Internet,Computer network
Singapore,Cryptography,Operating system,Programming language
United States,Operating system,Central processing unit,Programming language
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,The Internet,Machine learning
United States,Artificial intelligence,Operating system,The Internet
United States,Operating system,The Internet,Computer network
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Algorithm,Statistics
United States,Artificial intelligence,Operating system,Machine learning
China,Artificial intelligence,Machine learning,Computer vision
United States,Statistics,Artificial intelligence,Algorithm
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Social psychology,Robot
United States,Computer network,Statistics,The Internet
United States,Combinatorics,Discrete mathematics,Algorithm
China,Artificial intelligence,Operating system,Machine learning
United States,Artificial intelligence,Computer vision,Operating system
United States,Artificial intelligence,Operating system,Mechanical engineering
United States,Algorithm,Geometry,Artificial intelligence
United States,Operating system,Artificial intelligence,Computer network
Ireland,Artificial intelligence,The Internet,World Wide Web
Singapore,Artificial intelligence,Internal medicine,Neuroscience
China,Artificial intelligence,Computer vision,Optics
Saudi Arabia,The Internet,Computer network,Artificial intelligence
China,Mathematical optimization,Algorithm,Artificial intelligence
United States,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Machine learning,Support vector machine
United Kingdom,Artificial intelligence,Machine learning,Statistics
United Kingdom,Artificial intelligence,Statistics,Computer vision
United States,The Internet,Quantum mechanics,Artificial intelligence
Netherlands,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Computer vision,Algorithm
United States,Artificial intelligence,Algorithm,Quantum mechanics
United States,Artificial intelligence,Algorithm,Programming language
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Computer vision
United Kingdom,Statistics,Software engineering,Software development
United States,Artificial intelligence,Magnetic resonance imaging,Statistics
United Kingdom,Law,Operating system,The Internet
Israel,Algorithm,Real number,Algebra
Israel,Artificial intelligence,Computer vision,Statistics
United States,Artificial intelligence,Statistics,Machine learning
China,Artificial intelligence,Machine learning,The Internet
United States,Artificial intelligence,Information retrieval,Operating system
United States,Operating system,Statistics,Computer network
United States,Computer network,The Internet,Operating system
United States,Operating system,Computer network,Database
United States,Statistics,Computer network,Artificial intelligence
United States,Computer network,Statistics,The Internet
United States,Artificial intelligence,Statistics,Algorithm
China,Artificial intelligence,Surgery,Internal medicine
United States,The Internet,Operating system,Artificial intelligence
China,无研究领域,无研究领域,无研究领域
United States,Programming language,Software,Operating system
United States,Artificial intelligence,Statistics,Machine learning
Chile,Algorithm,Artificial intelligence,Programming language
Netherlands,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Statistics,Machine learning
Netherlands,Artificial intelligence,Internal medicine,Magnetic resonance imaging
United States,The Internet,Artificial intelligence,World Wide Web
United States,Programming language,Operating system,Mathematical analysis
United States,Computer network,Operating system,The Internet
Canada,Computer network,The Internet,Gene
United States,Computer network,The Internet,Operating system
United States,Algorithm,Geometry,Artificial intelligence
United States,Operating system,Central processing unit,Programming language
United States,Artificial intelligence,Computer vision,Machine learning
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Cognition,Computer vision
United States,Artificial intelligence,Statistics,Machine learning
Switzerland,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Programming language,Machine learning
Singapore,Operating system,Artificial intelligence,Database
United States,Computer network,Operating system,Algorithm
United States,Artificial intelligence,Machine learning,Artificial neural network
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Gene,DNA
United States,Statistics,Algorithm,Operating system
United States,Artificial intelligence,Computer vision,Optics
United States,Algebra,Combinatorics,Quantum mechanics
United States,Programming language,Algorithm,Gene
United States,Programming language,Cryptography,Algorithm
United States,Artificial intelligence,Database,Programming language
United States,Computer network,The Internet,Algorithm
Italy,Programming language,Database,Artificial intelligence
Israel,Artificial intelligence,Computer vision,Geometry
Netherlands,Artificial intelligence,Algorithm,Machine learning
Germany,Gene,DNA,Artificial intelligence
United States,Operating system,Central processing unit,Electrical engineering
Canada,Computer network,Operating system,The Internet
China,Artificial intelligence,Machine learning,Algorithm
Germany,Artificial intelligence,Computer vision,Mathematical analysis
United States,Artificial intelligence,Algorithm,Gene
United Kingdom,Operating system,Programming language,Computer network
United States,Artificial intelligence,Natural language processing,Programming language
United States,Artificial intelligence,Machine learning,Natural language processing
United States,Artificial intelligence,Algorithm,Gene
Germany,The Internet,World Wide Web,Artificial intelligence
United States,The Internet,Computer network,Operating system
United States,Law,Artificial intelligence,Social science
Singapore,Computer network,Artificial intelligence,Statistics
United States,Operating system,Artificial intelligence,Computer network
Austria,Artificial intelligence,Operating system,Computer vision
United States,Artificial intelligence,Computer vision,Operating system
United States,Artificial intelligence,Machine learning,Natural language processing
United States,Artificial intelligence,Machine learning,Computer vision
Canada,Mathematical optimization,Algorithm,Computer network
United States,Artificial intelligence,Statistics,Machine learning
France,Artificial intelligence,The Internet,Operating system
Japan,Computer network,The Internet,Artificial intelligence
Germany,Artificial intelligence,The Internet,Software
United States,Statistics,Artificial intelligence,Internal medicine
Italy,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Health care,Statistics
United Kingdom,Artificial intelligence,Computer vision,Statistics
Australia,Computer security,Computer network,The Internet
Australia,Operating system,Artificial intelligence,The Internet
United Kingdom,Artificial intelligence,Operating system,Human–computer interaction
United Kingdom,Computer network,Telecommunications,Statistics
Singapore,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Operating system,Programming language
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,The Internet,Computer vision
United States,Artificial intelligence,Radiation therapy,Statistics
Ireland,Computer vision,Artificial intelligence,Pixel
United Kingdom,Artificial intelligence,Machine learning,Reinforcement learning
United States,Artificial intelligence,Algorithm,Programming language
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Machine learning
Switzerland,Artificial intelligence,Computer network,Machine learning
United States,Statistics,Artificial intelligence,Telecommunications
Israel,Programming language,Artificial intelligence,Algorithm
China,Artificial intelligence,Machine learning,Pattern recognition
China,Artificial intelligence,Machine learning,Statistics
United States,Statistics,DNA,Gene
United States,Operating system,Computer security,The Internet
Czech Republic,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Operating system,Programming language
Canada,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Control theory,Statistics
China,Artificial intelligence,Machine learning,Algorithm
United States,Statistics,Artificial intelligence,Algorithm
United States,Artificial intelligence,The Internet,World Wide Web
United States,Operating system,Programming language,Central processing unit
France,Artificial intelligence,Computer vision,Statistics
United States,Operating system,Quantum mechanics,Programming language
Switzerland,Artificial intelligence,Computer vision,Operating system
United States,Artificial intelligence,Internal medicine,Radiology
Denmark,Cryptography,Algorithm,Programming language
Sweden,Statistics,Artificial intelligence,Electrical engineering
United States,Computer network,Operating system,The Internet
Switzerland,Operating system,Programming language,Computer network
Germany,Operating system,Cryptography,Programming language
United States,Artificial intelligence,Programming language,Statistics
United States,Operating system,Artificial intelligence,Database
United States,Computer network,Operating system,The Internet
United States,Software,Programming language,Software engineering
China,Operating system,Computer network,Artificial intelligence
United States,Artificial intelligence,Computer vision,Machine learning
France,Telecommunications,Computer network,Statistics
United States,Artificial intelligence,Computer vision,Statistics
Germany,无研究领域,无研究领域,无研究领域
China,Computer network,Artificial intelligence,The Internet
United States,Artificial intelligence,Programming language,The Internet
Belgium,Cryptography,Operating system,Algorithm
United States,Programming language,Operating system,Computer security
United States,Algorithm,Programming language,Operating system
Austria,Artificial intelligence,Algorithm,Artificial neural network
United States,Computer network,The Internet,Statistics
China,Artificial intelligence,Computer vision,Machine learning
China,Artificial intelligence,Machine learning,Algorithm
Canada,Artificial intelligence,Operating system,The Internet
Germany,Artificial intelligence,Algorithm,Computer vision
United States,Artificial intelligence,Machine learning,Algorithm
Canada,Artificial intelligence,Computer vision,Statistics
United States,Operating system,Internal medicine,Surgery
United States,Programming language,Operating system,Algorithm
Switzerland,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Programming language,Computer vision
United Kingdom,The Internet,Artificial intelligence,Human–computer interaction
United States,Artificial intelligence,Operating system,Programming language
Italy,Programming language,Artificial intelligence,Database
China,Artificial intelligence,Mechanical engineering,Mathematical optimization
China,Artificial intelligence,Machine learning,Computer vision
China,Artificial intelligence,Algorithm,Operating system
Netherlands,Law,The Internet,Management
United States,Artificial intelligence,Computer vision,Optics
China,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Radiology,Internal medicine
China,Artificial intelligence,Machine learning,Statistics
United States,Operating system,Central processing unit,Programming language
China,Artificial intelligence,Algorithm,Control theory
Taiwan,Artificial intelligence,Statistics,Machine learning
United States,Health care,Internal medicine,Law
United States,Artificial intelligence,Operating system,Programming language
China,Artificial intelligence,Statistics,Quantum mechanics
United Kingdom,Artificial intelligence,Machine learning,Artificial neural network
United States,Operating system,Computer network,The Internet
United States,Artificial intelligence,Computer vision,Computer graphics
United States,Artificial intelligence,Law,Health care
United States,Artificial intelligence,Computer vision,Machine learning
United States,Statistics,Artificial intelligence,Machine learning
United States,Artificial intelligence,Data mining,Machine learning
United Kingdom,Programming language,Artificial intelligence,Algorithm
Italy,无研究领域,无研究领域,无研究领域
United States,Social science,The Internet,Software
United Kingdom,Artificial intelligence,Statistics,Computer vision
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Computer graphics
United States,Artificial intelligence,Machine learning,Statistics
United States,Operating system,Computer network,GNU/Linux
Greece,Artificial intelligence,Machine learning,Data mining
United States,Computer network,Operating system,The Internet
United States,Programming language,Operating system,Software
United States,Operating system,Algorithm,Programming language
China,Artificial intelligence,Machine learning,Statistics
United States,无研究领域,无研究领域,无研究领域
United States,Artificial intelligence,Programming language,Operating system
Canada,Computer network,Operating system,Artificial intelligence
Austria,Artificial intelligence,Programming language,Algorithm
United Kingdom,The Internet,Computer network,Operating system
China,Artificial intelligence,Machine learning,Statistics
Australia,Artificial intelligence,Programming language,Statistics
United States,Artificial intelligence,The Internet,Database
United States,Artificial intelligence,Statistics,Computer vision
United States,Operating system,Artificial intelligence,Programming language
Germany,Computer network,The Internet,Operating system
United States,Artificial intelligence,Computer vision,Programming language
Spain,Artificial intelligence,Machine learning,Real number
Singapore,Operating system,Computer network,The Internet
China,Artificial intelligence,Computer vision,Optics
China,Computer network,Telecommunications,Statistics
Belgium,Algorithm,Statistics,Telecommunications
Germany,Artificial intelligence,Robot,Computer vision
United States,Artificial intelligence,Operating system,Programming language
Canada,Computer network,Telecommunications,The Internet
Switzerland,Artificial intelligence,Computer vision,Operating system
China,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Operating system,The Internet
Italy,Artificial intelligence,Operating system,Software
Japan,Artificial intelligence,Machine learning,Statistics
China,Software,Programming language,Operating system
United States,Artificial intelligence,Operating system,Computer vision
United States,Operating system,The Internet,Computer network
United States,Operating system,Programming language,Central processing unit
United States,Artificial intelligence,Programming language,Cognitive science
United States,Artificial intelligence,Machine learning,Natural language processing
Singapore,Artificial intelligence,Machine learning,Artificial neural network
United States,Artificial intelligence,Machine learning,Statistics
Netherlands,Artificial intelligence,Computer vision,Statistics
United States,Computer network,Statistics,Artificial intelligence
United States,Operating system,The Internet,Computer network
United States,Artificial intelligence,Internal medicine,Computer vision
Switzerland,Artificial intelligence,Algorithm,Computer vision
Canada,Artificial intelligence,Programming language,Operating system
United Kingdom,Artificial intelligence,Statistics,Machine learning
United States,Algorithm,Computer network,Artificial intelligence
Italy,The Internet,Operating system,Computer security
Australia,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Statistics,Algorithm
United States,Artificial intelligence,Mathematical analysis,Statistics
United States,World War II,Artificial intelligence,Law
China,Management,Marketing,The Internet
United States,Algorithm,Computer network,Mathematical optimization
Italy,Programming language,Database,The Internet
United States,Artificial intelligence,Computer vision,Algorithm
India,Artificial intelligence,Machine learning,Mathematical optimization
United Kingdom,Artificial intelligence,Computer vision,Algorithm
United States,Artificial intelligence,Statistics,Machine learning
Israel,Artificial intelligence,Law,Programming language
United States,Artificial intelligence,Statistics,Machine learning
China,Artificial intelligence,Computer vision,Machine learning
United States,Operating system,Computer network,The Internet
Israel,Gene,DNA,Genome
United States,Computer network,The Internet,Operating system
United States,Artificial intelligence,Law,Mathematics education
United Kingdom,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Statistics,Machine learning
United Kingdom,Statistics,Artificial intelligence,Machine learning
United States,Artificial intelligence,Natural language processing,Speech recognition
Ireland,Artificial intelligence,The Internet,Computer vision
United States,Computer network,Algorithm,Algebra
United States,Statistics,Artificial intelligence,Mathematical optimization
Canada,Computer network,The Internet,Operating system
United States,Operating system,Central processing unit,Programming language
United States,Internal medicine,Gene,Disease
Canada,Artificial intelligence,Computer network,Operating system
China,Artificial intelligence,Machine learning,Computer vision
United States,Computer network,Telecommunications,Algorithm
China,Artificial intelligence,Computer vision,Statistics
Republic of Korea,Artificial intelligence,Machine learning,Computer vision
United States,Computer network,Algorithm,Artificial intelligence
United States,The Internet,Marketing,Computer network
Netherlands,Combinatorics,Algorithm,Discrete mathematics
United States,Software,Operating system,Software engineering
Israel,Artificial intelligence,Computer vision,Machine learning
Belgium,Law,Statistics,Social science
China,Computer network,Telecommunications,The Internet
United States,Artificial intelligence,Human–computer interaction,Computer vision
United States,Operating system,Programming language,Parallel computing
United States,Artificial intelligence,Operating system,Statistics
China,Mathematical optimization,Artificial intelligence,Algorithm
Australia,Artificial intelligence,Ecology,Computer vision
China,Artificial intelligence,Artificial neural network,Control theory
United States,Computer network,The Internet,Operating system
India,Algebra,Artificial intelligence,Statistics
Belgium,Cryptography,Artificial intelligence,Operating system
United States,Algorithm,Combinatorics,Graph coloring
United States,Artificial intelligence,Machine learning,Statistics
United States,无研究领域,无研究领域,无研究领域
United States,Artificial intelligence,Statistics,Computer vision
United States,Artificial intelligence,Machine learning,Computer vision
Belgium,Artificial intelligence,Mathematical optimization,Algorithm
Australia,Artificial intelligence,Algorithm,Machine learning
Belgium,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Computer vision,Geometry
United States,Operating system,Computer network,Programming language
United States,Artificial intelligence,Computer vision,Statistics
Canada,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Machine learning,Computer vision
United States,Computer network,Operating system,Artificial intelligence
United States,Artificial intelligence,Machine learning,Statistics
United States,Computer network,The Internet,Operating system
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Programming language
United States,Artificial intelligence,Algorithm,Programming language
China,Mathematical optimization,Statistics,Artificial intelligence
United States,Artificial intelligence,Statistics,Magnetic resonance imaging
United States,Operating system,Central processing unit,Programming language
Israel,Computer network,Operating system,The Internet
Canada,Computer network,Telecommunications,Algorithm
Finland,Computer network,Artificial intelligence,Statistics
Germany,Artificial intelligence,Computer vision,Machine learning
United States,Enzyme,Gene,Artificial intelligence
China,Artificial intelligence,Statistics,Machine learning
Germany,Artificial intelligence,Statistics,Machine learning
France,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Natural language processing,Programming language
United States,The Internet,Social science,Artificial intelligence
Australia,Artificial intelligence,Algorithm,Programming language
Switzerland,Operating system,Programming language,Software
United States,Artificial intelligence,Programming language,Machine learning
United States,Artificial intelligence,Algorithm,Robot
Sweden,Software,Software engineering,Software development
United States,Algorithm,Combinatorics,Geometry
Australia,Statistics,Artificial intelligence,Machine learning
United States,Operating system,Programming language,Central processing unit
United States,Artificial intelligence,Programming language,Machine learning
China,无研究领域,无研究领域,无研究领域
United States,Artificial intelligence,Computer vision,Machine learning
France,Computer network,The Internet,Telecommunications
United States,Statistics,Algorithm,Artificial intelligence
United States,Computer network,Operating system,The Internet
United States,Operating system,Central processing unit,Artificial intelligence
United States,Cryptography,Programming language,Algorithm
Switzerland,The Internet,Artificial intelligence,Operating system
Egypt,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Statistics,Machine learning
Israel,Cryptography,Operating system,Algebra
United States,Artificial intelligence,Machine learning,Database
China,无研究领域,无研究领域,无研究领域
United States,Artificial intelligence,Organic chemistry,Enzyme
China,Computer network,Artificial intelligence,Operating system
United States,Artificial intelligence,Computer vision,Computer graphics
United States,Artificial intelligence,Statistics,The Internet
United Kingdom,The Internet,Operating system,Artificial intelligence
United States,Artificial intelligence,Internal medicine,Radiology
Canada,Programming language,Artificial intelligence,Database
India,Artificial intelligence,Statistics,Operating system
China,Artificial intelligence,Machine learning,Pattern recognition
Singapore,Artificial intelligence,Mechanical engineering,Composite material
United States,Operating system,Computer network,The Internet
United States,Artificial intelligence,The Internet,Computer network
China,Artificial intelligence,Computer vision,Statistics
United States,Artificial intelligence,Speech recognition,Statistics
Singapore,Artificial intelligence,Statistics,Machine learning
United States,Computer network,Artificial intelligence,Operating system
United States,Operating system,Cancer,Computer network
United States,Artificial intelligence,Computer vision,Computer graphics
Netherlands,Artificial intelligence,Computer vision,Machine learning
United States,Operating system,Programming language,The Internet
Canada,无研究领域,无研究领域,无研究领域
United States,Statistics,Mathematical analysis,Artificial intelligence
United States,Artificial intelligence,Operating system,Programming language
United States,Quantum mechanics,Algorithm,Algebra
Germany,Computer network,Operating system,The Internet
United States,Artificial intelligence,Natural language processing,Linguistics
Netherlands,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Programming language,Linguistics
Taiwan,Computer network,The Internet,Artificial intelligence
Netherlands,Operating system,Programming language,Computer network
Singapore,Cryptography,Computer network,Programming language
United States,Operating system,Programming language,Computer network
Germany,Artificial intelligence,Programming language,World Wide Web
United States,Artificial intelligence,Algorithm,Statistics
Qatar,Database,Artificial intelligence,Operating system
United States,Mathematical optimization,Statistics,Mathematical analysis
Israel,Artificial intelligence,Statistics,Computer network
Switzerland,Computer network,Operating system,The Internet
Australia,Artificial intelligence,Machine learning,Computer vision
Australia,Operating system,Programming language,Computer network
United States,Operating system,Programming language,Central processing unit
China,Artificial intelligence,Machine learning,Computer vision
United States,Operating system,Computer network,Artificial intelligence
United States,Artificial intelligence,Natural language processing,Programming language
United States,Artificial intelligence,The Internet,Statistics
United States,Artificial intelligence,Speech recognition,Programming language
United States,Artificial intelligence,Machine learning,Programming language
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Computer vision,Statistics
United States,Artificial intelligence,Statistics,Machine learning
United States,Cancer,Artificial intelligence,Internal medicine
United States,Operating system,Programming language,Parallel computing
United States,Software,Software engineering,Artificial intelligence
Taiwan,Operating system,Artificial intelligence,Computer network
United States,Artificial intelligence,Statistics,The Internet
United States,Artificial intelligence,Surgery,Operating system
France,Artificial intelligence,Computer vision,Internal medicine
Australia,Computer network,Telecommunications,Algorithm
United States,Artificial intelligence,Information retrieval,Machine learning
United States,Artificial intelligence,Programming language,Database
China,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer network,Operating system
China,Algorithm,Database,Artificial intelligence
United States,Artificial intelligence,Quantum mechanics,Machine learning
United States,Operating system,Central processing unit,Computer network
China,Artificial intelligence,Database,Computer network
United States,Operating system,The Internet,Computer network
United States,Operating system,Artificial intelligence,Computer network
Canada,Artificial intelligence,Statistics,Machine learning
Australia,World Wide Web,The Internet,Artificial intelligence
United States,Algorithm,Programming language,Artificial intelligence
United States,Operating system,Algorithm,Computer network
Germany,Algorithm,Programming language,Artificial intelligence
Australia,Artificial intelligence,Algorithm,Database
United States,Computer network,The Internet,Telecommunications
Denmark,Computer network,Telecommunications,Statistics
United States,Operating system,Programming language,Artificial intelligence
United States,Quantum mechanics,Algorithm,Artificial intelligence
United States,Operating system,Scheduling,Computer network
United Kingdom,Artificial intelligence,World Wide Web,Operating system
Italy,Artificial intelligence,Operating system,The Internet
Greece,Artificial intelligence,Programming language,Computer network
Australia,Artificial intelligence,Statistics,Machine learning
United States,Computer network,Operating system,Artificial intelligence
United States,Operating system,Artificial intelligence,Algorithm
United States,Artificial intelligence,The Internet,World Wide Web
Japan,Artificial intelligence,Operating system,Microsoft Windows
United States,Artificial intelligence,Computer vision,Algorithm
United States,Artificial intelligence,Cognition,Psychiatry
United States,Artificial intelligence,Computer vision,Algorithm
United States,Artificial intelligence,Computer vision,Algorithm
Finland,Artificial intelligence,Computer network,Operating system
United States,Artificial intelligence,Natural language processing,Internal medicine
Italy,Artificial intelligence,Electroencephalography,Neuroscience
United States,Artificial intelligence,Operating system,Software
France,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Statistics
United States,Statistics,Artificial intelligence,Algorithm
United States,Computer network,The Internet,Operating system
Canada,Artificial intelligence,Statistics,Machine learning
Japan,Mathematical optimization,Artificial intelligence,Genetic algorithm
United States,Computer network,The Internet,Operating system
France,Artificial intelligence,Computer vision,Machine learning
United States,Algorithm,Algebra,Combinatorics
United States,Database,Programming language,Operating system
China,Artificial intelligence,Machine learning,Artificial neural network
China,Artificial intelligence,Statistics,Computer vision
United States,Artificial intelligence,Computer vision,Algorithm
United States,Social psychology,The Internet,Management
United States,Algorithm,Operating system,Computer network
Italy,Artificial intelligence,Machine learning,Statistics
Sweden,Programming language,Operating system,Functional programming
Canada,Artificial intelligence,Statistics,Computer vision
United States,Artificial intelligence,Machine learning,Statistics
Belgium,Cryptography,Algebra,Operating system
Canada,Algorithm,Statistics,Mathematical analysis
United States,Artificial intelligence,Topology,Database
United States,Artificial intelligence,Statistics,Machine learning
China,Artificial intelligence,Machine learning,Algorithm
Belgium,Computer network,Operating system,The Internet
United Kingdom,Artificial intelligence,Statistics,Machine learning
United Kingdom,Statistics,Artificial intelligence,Algorithm
United States,Artificial intelligence,Computer network,Computer vision
Belgium,Artificial intelligence,Machine learning,Programming language
United States,Internal medicine,Artificial intelligence,Statistics
Australia,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Computer vision,Internal medicine
Saudi Arabia,Artificial intelligence,Optics,Computer vision
United States,The Internet,Operating system,Computer network
United States,Artificial intelligence,The Internet,World Wide Web
Germany,Statistics,Law,World War II
Belgium,Artificial intelligence,Machine learning,Statistics
Italy,Programming language,Algebra,Artificial intelligence
United States,Operating system,The Internet,Artificial intelligence
Germany,Artificial intelligence,Quantum mechanics,Operating system
China,Computer network,Artificial intelligence,The Internet
